,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9083,9365,Shiren the Wanderer 4 - God's Eye and the Demon's Navel,Nintendo DS,2010,Role-Playing,Spike,0.0,0.0,0.13,0.0,0.13
9084,9366,Ben 10 Galactic Racing,Nintendo 3DS,2011,Racing,D3Publisher,0.07,0.06,0.0,0.01,0.13
9085,9367,Sentou Kokka Air Land Battle,Sony PlayStation,1995,Strategy,Sony Computer Entertainment,0.0,0.0,0.13,0.01,0.13
9086,9368,NTRA Breeders' Cup World Thoroughbred Championships,Sony PlayStation 2,2005,Simulation,Bethesda Softworks,0.07,0.05,0.0,0.02,0.13
9087,9369,Tak 2: The Staff of Dreams,Microsoft Xbox,2004,Platform,THQ,0.1,0.03,0.0,0.0,0.13
9088,9370,Hulk Hogan's Main Event,Microsoft Xbox 360,2011,Fighting,505 Games,0.1,0.02,0.0,0.01,0.13
9089,9371,Transformers: Devastation,Microsoft Xbox One,2015,Action,Activision,0.09,0.03,0.0,0.01,0.13
9090,9372,Euro Truck Simulator 2,PC,2012,Action,SCS Software,0.0,0.12,0.0,0.02,0.13
9091,9373,DmC: Devil May Cry,Microsoft Xbox One,2015,Action,Capcom,0.08,0.04,0.0,0.01,0.13
9092,9374,WipeOut 3 The Game,Nintendo Wii U,2012,Action,Activision,0.12,0.0,0.0,0.01,0.13
9093,9375,Ys: The Ark of Napishtim,Sony PlayStation 2,2005,Role-Playing,Konami Digital Entertainment,0.07,0.05,0.0,0.02,0.13
9094,9376,Peter Jackson's King Kong: The Official Game of the Movie,Nintendo DS,2005,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13
9095,9377,Brain Assist,Nintendo DS,2007,Misc,Sega,0.12,0.0,0.0,0.01,0.13
9096,9378,Azure Dreams,Sony PlayStation,1997,Role-Playing,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13
9097,9379,Rumble Roses XX,Microsoft Xbox 360,2006,Fighting,Konami Digital Entertainment,0.07,0.01,0.04,0.01,0.13
9098,9380,Space Camp,Nintendo Wii,2009,Action,Activision,0.12,0.0,0.0,0.01,0.13
9099,9381,SingStar Latino,Sony PlayStation 2,2007,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.13
9100,9382,Bakugan: Battle Trainer,Nintendo DS,2010,Action,Activision,0.12,0.0,0.0,0.01,0.13
9101,9383,Phantom Brave: We Meet Again,Nintendo Wii,2009,Role-Playing,Nippon Ichi Software,0.12,0.0,0.01,0.01,0.13
9102,9384,Monster Rancher DS,Nintendo DS,2008,Role-Playing,Tecmo Koei,0.08,0.0,0.05,0.01,0.13
9103,9385,Kurt Warner's Arena Football Unleashed,Sony PlayStation,2000,Sports,Midway Games,0.07,0.05,0.0,0.01,0.13
9104,9386,Suite PreCure: Melody Collection,Nintendo DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9105,9387,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,Sony PlayStation 2,2008,Role-Playing,Atlus,0.07,0.05,0.0,0.02,0.13
9106,9388,NHL 2K9,Sony PlayStation 2,2008,Sports,Take-Two Interactive,0.07,0.05,0.0,0.02,0.13
9107,9389,Venetica,Microsoft Xbox 360,2010,Role-Playing,DTP Entertainment,0.09,0.03,0.0,0.01,0.13
9108,9390,Disney's Kim Possible: Kimmunicator,Nintendo DS,2005,Platform,Disney Interactive Studios,0.11,0.01,0.0,0.01,0.13
9109,9391,James Bond 007: Legends,Nintendo Wii U,2012,Shooter,Activision,0.07,0.05,0.0,0.01,0.13
9110,9392,Rogue Ops,Microsoft Xbox,2003,Action,Kemco,0.1,0.03,0.0,0.0,0.13
9111,9393,NBA Hoopz,Sony PlayStation,2001,Sports,Midway Games,0.07,0.05,0.0,0.01,0.13
9112,9395,Rugby 15,Sony PlayStation 3,2015,Sports,Bigben Interactive,0.02,0.09,0.0,0.02,0.13
9113,9396,MLB 11: The Show,Sony PlayStation 2,2011,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
9114,9397,Castrol Honda Superbike Racing,Sony PlayStation,1998,Racing,THQ,0.07,0.05,0.0,0.01,0.13
9115,9398,History Civil War: Secret Missions,Microsoft Xbox 360,2008,Shooter,Activision,0.12,0.0,0.0,0.01,0.13
9116,9399,Army Men: Green Rogue,Sony PlayStation 2,2001,Action,3DO,0.06,0.05,0.0,0.02,0.13
9117,9400,My Spanish Coach,Sony PlayStation Portable,2008,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13
9118,9401,Chessmaster,Microsoft Xbox,2004,Misc,Ubisoft,0.1,0.03,0.0,0.0,0.13
9119,9402,Over the Hedge: Hammy Goes Nuts!,Nintendo DS,2006,Platform,Activision,0.12,0.0,0.0,0.01,0.13
9120,9403,Fatal Inertia,Microsoft Xbox 360,2007,Racing,Tecmo Koei,0.12,0.0,0.0,0.01,0.13
9121,9404,Superman: The Man of Steel,Microsoft Xbox,2002,Action,Atari,0.1,0.03,0.0,0.0,0.13
9122,9405,Ken to Mahou to Gakuen Mono. 3,Sony PlayStation Portable,2010,Role-Playing,Acquire,0.0,0.0,0.13,0.0,0.13
9123,9406,Greg Hastings Paintball 2,Nintendo Wii,2010,Shooter,505 Games,0.12,0.0,0.0,0.01,0.13
9124,9407,The Flintstones: Bedrock Bowling,Sony PlayStation,2000,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13
9125,9408,Teenage Mutant Ninja Turtles: Danger of the Ooze,Nintendo 3DS,2014,Adventure,Activision,0.08,0.04,0.0,0.01,0.13
9126,9409,NHL 2003,Nintendo GameCube,2002,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13
9127,9410,Chicken Run,Sony PlayStation,2000,Adventure,Eidos Interactive,0.07,0.05,0.0,0.01,0.13
9128,9411,Scene It? Bright Lights! Big Screen!,Sony PlayStation 3,2009,Misc,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.13
9129,9412,My Baby: First Steps,Nintendo Wii,2009,Simulation,SouthPeak Games,0.12,0.0,0.0,0.01,0.13
9130,9413,Pro Baseball Spirits 2015,Sony Playstation Vita,2015,Action,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9131,9414,Shining Force III,Sega Saturn,1997,Strategy,Sega,0.0,0.0,0.13,0.0,0.13
9132,9415,Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,Sony PlayStation Portable,2011,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9133,9416,Tales of the Heroes: Twin Brave,Sony PlayStation Portable,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9134,9417,WWE Survivor Series,Nintendo Game Boy Advance,2004,Fighting,THQ,0.09,0.04,0.0,0.0,0.13
9135,9418,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,Nintendo DS,2006,Action,Sega,0.0,0.0,0.13,0.0,0.13
9136,9419,Super Robot Wars BX,Nintendo 3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9137,9420,Persona 4: Arena,Microsoft Xbox 360,2012,Fighting,Atlus,0.08,0.02,0.03,0.01,0.13
9138,9421,Tomb Raider: Legend,Microsoft Xbox,2006,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
9139,9422,Nagano Winter Olympics '98,Sony PlayStation,1997,Sports,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13
9140,9423,Destroy All Humans! Path of the Furon,Microsoft Xbox 360,2008,Action,THQ,0.08,0.04,0.0,0.01,0.13
9141,9424,Winning Post 5,Sony PlayStation 2,2001,Sports,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
9142,9425,Star Wars: Lethal Alliance,Sony PlayStation Portable,2006,Action,Ubisoft,0.11,0.01,0.0,0.01,0.13
9143,9426,Midnight Mysteries: The Edgar Allan Poe Conspiracy,Nintendo DS,2010,Adventure,Foreign Media Games,0.08,0.04,0.0,0.01,0.13
9144,9427,All Star Cheer Squad 2,Nintendo Wii,2009,Sports,THQ,0.12,0.0,0.0,0.01,0.13
9145,9428,Frogger Beyond,Nintendo GameCube,2002,Platform,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13
9146,9429,RPG Maker II,Sony PlayStation 2,2002,Role-Playing,Enterbrain,0.06,0.05,0.0,0.02,0.13
9147,9430,Resident Evil: Revelations 2,Sony Playstation Vita,2015,Action,Capcom,0.01,0.05,0.06,0.01,0.13
9148,9431,SpongeBob's Surf & Skate Roadtrip,Nintendo DS,2011,Action,THQ,0.11,0.02,0.0,0.01,0.13
9149,9432,Destruction Derby Arenas,Sony PlayStation 2,2004,Racing,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
9150,9433,Cabela's Dangerous Hunts 2009,Microsoft Xbox 360,2008,Sports,Activision,0.12,0.0,0.0,0.01,0.13
9151,9434,The Unholy War,Sony PlayStation,1998,Strategy,Eidos Interactive,0.07,0.05,0.0,0.01,0.13
9152,9435,Chuck E. Cheese's Game Room,Nintendo DS,2010,Misc,UFO Interactive,0.12,0.0,0.0,0.01,0.13
9153,9436,Wantame Music Channel: Doko Demo Style,Nintendo DS,2007,Misc,Capcom,0.0,0.0,0.13,0.0,0.13
9154,9437,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,Nintendo Game Boy Advance,2005,Platform,Ubisoft,0.09,0.03,0.0,0.0,0.13
9155,9438,Shaman King: Power of Spirit,Sony PlayStation 2,2004,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.13
9156,9439,Eat Lead: The Return of Matt Hazard,Sony PlayStation 3,2009,Shooter,D3Publisher,0.09,0.02,0.0,0.01,0.13
9157,9440,Attack on Titan (KOEI),Sony Playstation Vita,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
9158,9441,Soccer Tsuku DS: World Challenge 2010,Nintendo DS,2010,Sports,Sega,0.0,0.0,0.13,0.0,0.13
9159,9442,Family Fortunes,Nintendo Wii,2009,Misc,Mindscape,0.0,0.12,0.0,0.01,0.13
9160,9443,Megamind: The Blue Defender,Sony PlayStation Portable,2010,Adventure,THQ,0.08,0.03,0.0,0.02,0.13
9161,9444,Contra III: The Alien Wars,Super Nintendo Entertainment System,1992,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9162,9445,Dead to Rights: Reckoning,Sony PlayStation Portable,2005,Shooter,Electronic Arts,0.12,0.0,0.0,0.01,0.13
9163,9446,The BIGS 2,Sony PlayStation 3,2009,Sports,Take-Two Interactive,0.12,0.0,0.0,0.01,0.13
9164,9447,Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,Nintendo 3DS,2011,Role-Playing,Square Enix,0.0,0.0,0.13,0.0,0.13
9165,9448,Amagami,Sony PlayStation 2,2009,Adventure,Enterbrain,0.0,0.0,0.13,0.0,0.13
9166,9449,Diablo II,PC,2000,Role-Playing,Havas Interactive,0.01,0.09,0.0,0.02,0.13
9167,9450,How to Train Your Dragon 2,Sony PlayStation 3,2014,Adventure,Little Orbit,0.03,0.08,0.0,0.02,0.13
9168,9451,NBA 08,Sony PlayStation 3,2007,Sports,Sony Computer Entertainment,0.12,0.0,0.0,0.01,0.13
9169,9452,The Smurfs 2,Microsoft Xbox 360,2013,Platform,Ubisoft,0.03,0.09,0.0,0.01,0.13
9170,9453,NeverDead,Sony PlayStation 3,2012,Shooter,Konami Digital Entertainment,0.06,0.04,0.01,0.02,0.13
9171,9454,No Fear Downhill Mountain Biking,Sony PlayStation,1998,Sports,Codemasters,0.07,0.05,0.0,0.01,0.13
9172,9455,Fire ProWrestling,Nintendo Game Boy Advance,2001,Fighting,Spike,0.09,0.03,0.0,0.0,0.13
9173,9456,Eternal Poison (JP sales),Sony PlayStation 2,2008,Role-Playing,Banpresto,0.0,0.0,0.13,0.0,0.13
9174,9457,Mission: Impossible - Operation Surma,Microsoft Xbox,2003,Platform,Atari,0.1,0.03,0.0,0.0,0.13
9175,9458,Naruto Shippuden: Kizuna Drive,Sony PlayStation Portable,2010,Action,Namco Bandai Games,0.04,0.02,0.05,0.02,0.13
9176,9459,The IdolM@ster: One for All,Sony PlayStation 3,2014,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9177,9460,MX 2002 Featuring Ricky Carmichael,Microsoft Xbox,2001,Racing,THQ,0.1,0.03,0.0,0.0,0.13
9178,9461,Indianapolis 500 Legends,Nintendo Wii,2007,Racing,Destineer,0.12,0.0,0.0,0.01,0.13
9179,9462,Romance of the Three Kingdoms IV: Wall of Fire,Sony PlayStation,1995,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
9180,9463,Illusion of Gaia,Super Nintendo Entertainment System,1993,Role-Playing,Nintendo,0.0,0.0,0.13,0.0,0.13
9181,9464,Steel Battalion: Heavy Armor,Microsoft Xbox 360,2012,Misc,Capcom,0.08,0.03,0.02,0.01,0.13
9182,9465,Academy of Champions: Soccer,Nintendo Wii,2009,Sports,Ubisoft,0.1,0.02,0.0,0.01,0.13
9183,9466,Mega Man Anniversary Collection,Microsoft Xbox,2005,Platform,Capcom,0.1,0.03,0.0,0.0,0.13
9184,9467,Disney Princess: Enchanting Storybooks,Nintendo DS,2011,Misc,THQ,0.08,0.04,0.0,0.01,0.13
9185,9468,Sally's Salon,Nintendo DS,2008,Simulation,Capcom,0.12,0.0,0.0,0.01,0.13
9186,9469,The Oregon Trail,Nintendo 3DS,2011,Simulation,Crave Entertainment,0.12,0.0,0.0,0.01,0.13
9187,9470,Disruptor,Sony PlayStation,1995,Shooter,Interplay,0.07,0.05,0.0,0.01,0.13
9188,9471,NBA Ballers: Chosen One,Sony PlayStation 3,2008,Sports,Midway Games,0.12,0.0,0.0,0.01,0.13
9189,9472,Lovely Lisa and Friends,Nintendo DS,2010,Simulation,Tomy Corporation,0.12,0.0,0.0,0.01,0.13
9190,9473,Hasbro Family Fun Pack,Microsoft Xbox One,2015,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13
9191,9474,Shrek Smash n' Crash Racing,Nintendo GameCube,2006,Racing,Activision,0.1,0.03,0.0,0.0,0.13
9192,9475,Under Night In-Birth,Sony PlayStation 3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,0.13
9193,9476,Drakengard 2,Sony PlayStation 2,2005,Role-Playing,Ubisoft,0.06,0.05,0.0,0.02,0.13
9194,9478,Grand Knights History,Sony PlayStation Portable,2011,Role-Playing,Marvelous Interactive,0.0,0.0,0.13,0.0,0.13
9195,9479,Harvest Moon DS (jp sales),Nintendo DS,2005,Simulation,Rising Star Games,0.0,0.0,0.13,0.0,0.13
9196,9480,Summon Night: Twin Age,Nintendo DS,2007,Role-Playing,Banpresto,0.07,0.0,0.05,0.01,0.13
9197,9481,Sin and Punishment,Nintendo 64,2000,Shooter,Nintendo,0.0,0.0,0.13,0.0,0.13
9198,9482,NBA Jam 2000,Nintendo 64,1999,Sports,Acclaim Entertainment,0.12,0.01,0.0,0.0,0.13
9199,9483,Castlevania: Legacy of Darkness,Nintendo 64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0.0,0.13
9200,9484,Just Dance: Disney Party,Nintendo Wii,2012,Misc,Ubisoft,0.01,0.1,0.0,0.02,0.13
9201,9485,Cabela's Alaskan Adventure,Microsoft Xbox 360,2006,Sports,Activision,0.12,0.0,0.0,0.01,0.13
9202,9486,Rango: The Video Game,Microsoft Xbox 360,2011,Action,Electronic Arts,0.06,0.06,0.0,0.01,0.13
9203,9487,Shrek Super Party,Microsoft Xbox,2002,Misc,TDK Mediactive,0.1,0.03,0.0,0.0,0.13
9204,9488,Sonic Riders,Microsoft Xbox,2006,Racing,Sega,0.1,0.03,0.0,0.0,0.13
9205,9489,Shimano Xtreme Fishing,Nintendo Wii,2009,Sports,Mastiff,0.12,0.0,0.0,0.01,0.13
9206,9490,The History Channel: Great Battles - Medieval,Microsoft Xbox 360,2010,Strategy,Slitherine Software,0.08,0.04,0.0,0.01,0.13
9207,9491,TRON: Evolution,Sony PlayStation Portable,2010,Action,Disney Interactive Studios,0.09,0.02,0.0,0.02,0.13
9208,9492,Rally Fusion: Race of Champions,Sony PlayStation 2,2002,Racing,Activision,0.06,0.05,0.0,0.02,0.13
9209,9493,Barbie and the Three Musketeers,Nintendo DS,2009,Adventure,Activision,0.12,0.0,0.0,0.01,0.13
9210,9494,Secret Agent Clank,Sony PlayStation Portable,2008,Platform,Sony Computer Entertainment,0.04,0.03,0.04,0.02,0.13
9211,9495,The House of the Dead,Sega Saturn,1997,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
9212,9496,DreamWorks Super Star Kartz,Nintendo DS,2011,Racing,Activision,0.09,0.03,0.0,0.01,0.13
9213,9498,Heroes of the Pacific,Microsoft Xbox,2005,Simulation,Codemasters,0.1,0.03,0.0,0.0,0.13
9214,9499,Smart Boy's Gameroom,Nintendo DS,2007,Misc,505 Games,0.12,0.0,0.0,0.01,0.13
9215,9500,NightCaster,Microsoft Xbox,2002,Action,Microsoft Game Studios,0.1,0.03,0.0,0.0,0.13
9216,9501,RollerCoaster Tycoon,Microsoft Xbox,2003,Strategy,Atari,0.1,0.03,0.0,0.0,0.13
9217,9502,FIFA World Cup Germany 2006,Nintendo GameCube,2006,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13
9218,9503,Hitman 2: Silent Assassin,Nintendo GameCube,2003,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
9219,9504,MLB 13: The Show,Sony Playstation Vita,2013,Sports,Sony Computer Entertainment,0.11,0.0,0.0,0.02,0.13
9220,9505,Nicktoons: MLB,Microsoft Xbox 360,2011,Sports,Take-Two Interactive,0.12,0.0,0.0,0.01,0.13
9221,9506,Digimon Racing,Nintendo Game Boy Advance,2004,Racing,Namco Bandai Games,0.09,0.03,0.0,0.0,0.13
9222,9507,Ape Escape 3,Sony PlayStation 2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
9223,9508,Green Lantern: Rise of the Manhunters,Microsoft Xbox 360,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.05,0.0,0.01,0.13
9224,9509,"Crouching Tiger, Hidden Dragon",Sony PlayStation 2,2003,Action,Ubisoft,0.06,0.05,0.0,0.02,0.13
9225,9510,Last Bronx,Sega Saturn,1996,Fighting,Sega,0.0,0.0,0.13,0.0,0.13
9226,9511,Iridion II,Nintendo Game Boy Advance,2003,Shooter,Vivendi Games,0.09,0.03,0.0,0.0,0.13
9227,9512,Momotaro Douchuuki,Sega Saturn,1997,Misc,Hudson Soft,0.0,0.0,0.13,0.0,0.13
9228,9513,Brothers: A Tale of Two Sons,Sony PlayStation 4,2015,Adventure,505 Games,0.03,0.08,0.0,0.02,0.13
9229,9514,Tom Clancy's Splinter Cell: Double Agent,Nintendo Wii,2006,Action,Ubisoft,0.1,0.01,0.0,0.01,0.13
9230,9515,Whiplash,Sony PlayStation 2,2003,Racing,Eidos Interactive,0.06,0.05,0.0,0.02,0.13
9231,9516,BlazBlue: Continuum Shift II,Sony PlayStation Portable,2011,Fighting,PQube,0.03,0.02,0.07,0.01,0.13
9232,9517,Backyard Sports Football: Rookie Rush,Nintendo Wii,2010,Sports,Atari,0.12,0.0,0.0,0.01,0.13
9233,9518,Warcraft III: Reign of Chaos,PC,2002,Strategy,Vivendi Games,0.03,0.08,0.0,0.02,0.13
9234,9520,Margot's Word Brain,Nintendo Wii,2008,Puzzle,Zoo Digital Publishing,0.12,0.0,0.0,0.01,0.13
9235,9521,Spider-Man: Battle for New York,Nintendo DS,2006,Platform,Activision,0.12,0.0,0.0,0.01,0.13
9236,9522,Imagine: Fashion Designer,Nintendo 3DS,2011,Simulation,Ubisoft,0.1,0.02,0.0,0.01,0.13
9237,9523,Pop'n Music Portable,Sony PlayStation Portable,2010,Misc,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9238,9525,Borderlands: Double Game Add-On Pack,Microsoft Xbox 360,2010,Shooter,Take-Two Interactive,0.1,0.02,0.0,0.01,0.13
9239,9526,Otogi: Myth of Demons,Microsoft Xbox,2002,Action,Sega,0.08,0.02,0.03,0.0,0.13
9240,9527,The Price is Right 2010 Edition,Nintendo DS,2009,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13
9241,9528,Army Men: Soldiers of Misfortune,Nintendo Wii,2008,Shooter,Zoo Games,0.12,0.0,0.0,0.01,0.13
9242,9529,Alter Echo,Sony PlayStation 2,2003,Shooter,THQ,0.06,0.05,0.0,0.02,0.13
9243,9530,Walt Disney Pictures Presents: The Wild,Nintendo Game Boy Advance,2006,Platform,Disney Interactive Studios,0.09,0.03,0.0,0.0,0.13
9244,9531,Puzzle de Harvest Moon,Nintendo DS,2007,Puzzle,Natsume,0.12,0.0,0.0,0.01,0.13
9245,9532,Reader Rabbit Kindergarten,Nintendo Wii,2010,Misc,Graffiti,0.12,0.0,0.0,0.01,0.13
9246,9533,Onechanbara: Bikini Samurai Squad,Microsoft Xbox 360,2006,Action,D3Publisher,0.11,0.01,0.0,0.01,0.13
9247,9534,Metal Max 3,Nintendo DS,2010,Role-Playing,Enterbrain,0.0,0.0,0.13,0.0,0.13
9248,9535,Rock Band Track Pack Volume 1,Sony PlayStation 2,2008,Misc,MTV Games,0.06,0.05,0.0,0.02,0.13
9249,9536,Puyo Puyo!! 20th Anniversary,Nintendo 3DS,2011,Puzzle,Sega,0.0,0.0,0.13,0.0,0.13
9250,9537,Hour of Victory,Microsoft Xbox 360,2007,Shooter,Midway Games,0.1,0.01,0.0,0.01,0.13
9251,9538,Namco Soccer Prime Goal,Sony PlayStation,1995,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13
9252,9539,NBA 08,Sony PlayStation 2,2007,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
9253,9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Sony PlayStation 3,2016,Action,Square Enix,0.0,0.0,0.13,0.0,0.13
9254,9541,Monster Hunter Frontier Online,Microsoft Xbox 360,2010,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13
9255,9542,Green Lantern: Rise of the Manhunters,Nintendo 3DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13
9256,9543,Shin Megami Tensei: Digital Devil Saga,Sony PlayStation 2,2004,Role-Playing,Ghostlight,0.06,0.05,0.0,0.02,0.13
9257,9544,7 Wonders of the Ancient World,Nintendo DS,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13
9258,9545,Backyard Baseball '09,Nintendo DS,2008,Sports,Atari,0.12,0.0,0.0,0.01,0.13
9259,9546,Puppies 3D,Nintendo 3DS,2011,Misc,Ubisoft,0.08,0.04,0.0,0.01,0.13
9260,9547,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,Sony PlayStation 2,2005,Misc,Sega,0.0,0.0,0.13,0.0,0.13
9261,9548,Mystic Ark,Super Nintendo Entertainment System,1995,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13
9262,9549,Just Cause 2,PC,2010,Action,Square Enix,0.0,0.1,0.0,0.03,0.13
9263,9550,Ty the Tasmanian Tiger 2: Bush Rescue,Nintendo Game Boy Advance,2004,Platform,Electronic Arts,0.09,0.03,0.0,0.0,0.13
9264,9551,Venetica,Sony PlayStation 3,2010,Role-Playing,DTP Entertainment,0.07,0.04,0.0,0.02,0.13
9265,9552,Teenage Mutant Ninja Turtles 2: Battle Nexus,Microsoft Xbox,2004,Action,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13
9266,9553,LEGO Racers 2,Sony PlayStation 2,2001,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13
9267,9554,Backyard Baseball,Nintendo GameCube,2003,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13
9268,9555,Transformers: War for Cybertron -- Decepticons,Nintendo DS,2010,Action,Activision,0.11,0.01,0.0,0.01,0.13
9269,9556,Overlord: Raising Hell,Sony PlayStation 3,2008,Action,Codemasters,0.07,0.04,0.0,0.02,0.13
9270,9557,Sega GT,Sega Dreamcast,2000,Racing,Sega,0.0,0.0,0.13,0.0,0.13
9271,9558,Fuse (Insomniac),Microsoft Xbox 360,2013,Shooter,Electronic Arts,0.08,0.04,0.0,0.01,0.13
9272,9559,Cabela's Dangerous Hunts 2009,Sony PlayStation 3,2008,Sports,Activision Value,0.12,0.0,0.0,0.01,0.13
9273,9560,Legends of Wrestling,Nintendo GameCube,2002,Fighting,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13
9274,9561,Space Bust-A-Move,Nintendo DS,2008,Puzzle,Square Enix,0.1,0.02,0.0,0.01,0.13
9275,9562,Legend of the Guardians: The Owls of Ga'Hoole,Nintendo Wii,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.01,0.13
9276,9563,Gunstar Heroes,Sega Genesis,1992,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
9277,9564,All-Star Baseball 2004,Microsoft Xbox,2003,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13
9278,9565,Tamagotchi no Pichi Pichi Omisecchi,Nintendo DS,2010,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9279,9566,Shining Wind,Sony PlayStation 2,2007,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13
9280,9567,Brothers in Arms: Double Time,Nintendo Wii,2008,Shooter,Ubisoft,0.11,0.0,0.0,0.01,0.13
9281,9568,Portal Runner,Sony PlayStation 2,2001,Platform,3DO,0.06,0.05,0.0,0.02,0.13
9282,9569,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,Nintendo Game Boy Advance,2004,Misc,Nintendo,0.09,0.03,0.0,0.0,0.13
9283,9570,Pro Evolution Soccer 2016,Microsoft Xbox 360,2015,Sports,Konami Digital Entertainment,0.04,0.08,0.0,0.01,0.13
9284,9571,Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.0,0.01,0.13
9285,9572,Warriors Orochi 2,Sony PlayStation 2,2008,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13
9286,9573,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,Sony PlayStation 2,2005,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.13
9287,9574,Need for Speed: ProStreet,Nintendo DS,2007,Racing,Electronic Arts,0.11,0.01,0.0,0.01,0.13
9288,9575,Assault: Retribution,Sony PlayStation,1998,Action,Telstar,0.07,0.05,0.0,0.01,0.13
9289,9576,Sengoku Basara 3 Utage,Nintendo Wii,2011,Action,Capcom,0.0,0.0,0.13,0.0,0.13
9290,9577,Spartan: Total Warrior,Microsoft Xbox,2005,Action,Sega,0.1,0.03,0.0,0.0,0.13
9291,9578,Gravity Rush Remastered,Sony PlayStation 4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13
9292,9579,Rock Band Track Pack Volume 2,Sony PlayStation 3,2008,Misc,MTV Games,0.11,0.0,0.0,0.01,0.13
9293,9580,City Crisis,Sony PlayStation 2,2001,Simulation,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13
9294,9581,Zapper: One Wicked Cricket!,Nintendo GameCube,2002,Platform,Infogrames,0.1,0.03,0.0,0.0,0.13
9295,9582,Star Wars: Clone Wars,Microsoft Xbox,2003,Shooter,LucasArts,0.1,0.03,0.0,0.0,0.13
9296,9583,Assassination Classroom: Grand Siege on Kuro-sensei,Nintendo 3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9297,9584,Dynasty Warriors 5 Empires,Microsoft Xbox 360,2006,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13
